id	filename	md5	size	state
c92ecdd4-cf61-4f1a-b516-23babeab074f	c92ecdd4-cf61-4f1a-b516-23babeab074f/5deb8f45-ac53-4638-8407-b5324f06c03f.rna_seq.augmented_star_gene_counts.tsv	d6449bcd9b47825c52298a4232759afd	4238135	validated
87d2e64a-3c0f-4ffb-a01c-c666521c2fce	87d2e64a-3c0f-4ffb-a01c-c666521c2fce/77801672-0067-474c-a276-a4a7377ba9e8.rna_seq.augmented_star_gene_counts.tsv	e56a0366038229331875508e03e09689	4237022	validated
e66b5762-22d5-401d-9cdd-e44a024894b0	e66b5762-22d5-401d-9cdd-e44a024894b0/a676be28-cf07-4811-9ed9-b8fb746d0573.rna_seq.augmented_star_gene_counts.tsv	445700e9aec8a594089f54f2e55b4fd1	4245454	validated
b085822b-bd67-4902-80b1-2c261bc3274d	b085822b-bd67-4902-80b1-2c261bc3274d/0fdae061-c056-4512-9072-3eae970d732b.rna_seq.augmented_star_gene_counts.tsv	5230e784b36f9b5a76ed8222e25a6f0b	4230145	validated
edfdc479-f064-4df6-9c80-c47b93d86094	edfdc479-f064-4df6-9c80-c47b93d86094/d9d28b54-061c-4848-acbb-5af24eb9bf5a.rna_seq.augmented_star_gene_counts.tsv	852889fdd11d592cc5d4d1c506c06542	4238607	validated
d6949dfe-5b37-4cf6-a856-be70b7304716	d6949dfe-5b37-4cf6-a856-be70b7304716/b049ba60-794e-4f07-be4c-aa73551ad8fa.rna_seq.augmented_star_gene_counts.tsv	c86d4c716e0f94e2fdb28601f3bd242e	4243942	validated
d995263d-0138-4bcb-9317-47acf49eb51a	d995263d-0138-4bcb-9317-47acf49eb51a/59155009-4bbf-4729-b601-d57286e24c1e.rna_seq.augmented_star_gene_counts.tsv	b63651395f863d83de8749edbf92578f	4232647	validated
cb31d173-1ffc-4758-92e8-723e3a4d1f48	cb31d173-1ffc-4758-92e8-723e3a4d1f48/c1990c79-964a-45db-8fa1-4ada47d10743.rna_seq.augmented_star_gene_counts.tsv	230a1268e2524d9c5b974587c688f3fd	4247849	validated
9816e5d5-5d5f-498b-90f1-afadb1b355a6	9816e5d5-5d5f-498b-90f1-afadb1b355a6/dbbfbb56-d0bf-40c5-9b99-689632d240cd.rna_seq.augmented_star_gene_counts.tsv	9bf1d299dbf0822b1dacffbfd2439f35	4226325	validated
6c9d02b7-69b5-485b-a37e-2f5cb6baa354	6c9d02b7-69b5-485b-a37e-2f5cb6baa354/de57cc79-041e-44f4-b96d-75531db5bb65.rna_seq.augmented_star_gene_counts.tsv	d75ca3027f75e1e8a40f3be6465834a5	4249220	validated
2ba0d185-9c0f-4f77-b967-887994c35537	2ba0d185-9c0f-4f77-b967-887994c35537/b2a45363-60f5-468c-b29d-687c2e0bf83b.rna_seq.augmented_star_gene_counts.tsv	da98d1a226f566cd18b124a62451c7d6	4253210	validated
2c528f06-a2f1-4096-a018-9d4480119cf1	2c528f06-a2f1-4096-a018-9d4480119cf1/21d63529-db76-4110-b736-2bf3703ce73e.rna_seq.augmented_star_gene_counts.tsv	69dba1dc70c8420c25c5ea621fb28d5f	4246341	validated
1a6126f3-97a5-48ac-803a-0c4377d21cf6	1a6126f3-97a5-48ac-803a-0c4377d21cf6/702bedee-8f97-47b7-9c41-f7abb68fba02.rna_seq.augmented_star_gene_counts.tsv	3fb0620496115a50f70df61d4d47ed9e	4238257	validated
7c000514-6e57-4468-b432-a341e138f289	7c000514-6e57-4468-b432-a341e138f289/7aae5514-7e8f-4ae9-ad8c-8dfe23e81c8a.rna_seq.augmented_star_gene_counts.tsv	6dc6fa4edec4fae2fae764dfd47d4aa7	4233680	validated
babd0017-64a6-440f-8b82-e7a4de5cad8b	babd0017-64a6-440f-8b82-e7a4de5cad8b/f17ee22f-febc-4da6-a2d6-59752cb5b55a.rna_seq.augmented_star_gene_counts.tsv	f1217b66661fce617b45304144e418e1	4246877	validated
c9c57b6a-1a65-4384-8f78-23726803fd14	c9c57b6a-1a65-4384-8f78-23726803fd14/4aeac737-0156-44fe-a034-664c3d1dfed4.rna_seq.augmented_star_gene_counts.tsv	b4cfab25613355aeb10c149f2dc3a08a	4233178	validated
8a881e95-d561-4e51-a444-af40cc85a7e7	8a881e95-d561-4e51-a444-af40cc85a7e7/b5cfa57a-ffd8-4c5c-93ca-bafeb6cdfb1d.rna_seq.augmented_star_gene_counts.tsv	99fa6aaa3918586413bbde4c43988ed4	4231944	validated
da724edb-9a7d-499f-a0b2-1036ff37cde5	da724edb-9a7d-499f-a0b2-1036ff37cde5/41317cbf-55ed-4118-9964-b4b17bc89848.rna_seq.augmented_star_gene_counts.tsv	d7c041b54fa652bf8562f38e67e0b24a	4240092	validated
18212b0b-3e60-4ee7-a70e-b0c2182e99f0	18212b0b-3e60-4ee7-a70e-b0c2182e99f0/63f9828d-5525-4ff6-85ac-a639058d4f1f.rna_seq.augmented_star_gene_counts.tsv	f2c7b4b2ee888d31d0daf77f3a30994d	4239541	validated
a9999aad-a878-418d-8564-f8ea1a98ecb2	a9999aad-a878-418d-8564-f8ea1a98ecb2/3a99e7d7-12d0-4b11-bf01-cc48f0897a99.rna_seq.augmented_star_gene_counts.tsv	d8a1224902f79bc0a59d2943bbbb44cd	4238744	validated
51dc1c02-21ae-47aa-aed7-ccf695eb3015	51dc1c02-21ae-47aa-aed7-ccf695eb3015/7d2a148b-6dbe-4ba4-889b-907a8ddcefae.rna_seq.augmented_star_gene_counts.tsv	7c0d0aeef394c15b0947efb6f640d13f	4260624	validated
d2fa6d84-36ae-46fa-83fb-1e38cb3d02c8	d2fa6d84-36ae-46fa-83fb-1e38cb3d02c8/42f77df3-dddc-44df-a2d8-e4ed6af26aa5.rna_seq.augmented_star_gene_counts.tsv	9e448013f84fb494f7dbe2c4e49c4ace	4229746	validated
