"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000134020.8","ENSG00000134020.8",-1.14520812475101,0.318157694408364,0.00732158376893109,"15","382","3.14309544472771",0.534799865831843,0.019731104671145,"ENSG00000134020","PEBP4","phosphatidylethanolamine binding protein 4"
"ENSG00000116288.13","ENSG00000116288.13",-1.47609530466264,0.228528281820726,0.00422271056740451,"7","390","4.37582601169894",0.529097719141324,0.0165759932219996,"ENSG00000116288","PARK7","Parkinsonism associated deglycase"
"ENSG00000160932.11","ENSG00000160932.11",0.632106156124692,1.88156928765124,0.0215821798042808,"129","268","0.531471259954662",0.562360241502683,0.0270684303704911,"ENSG00000160932","LY6E","lymphocyte antigen 6 family member E"
"ENSG00000109814.12","ENSG00000109814.12",0.86931332562279,2.38527238561183,0.028676525679481,"379","18","0.419239331336785",0.541648032200358,0.0212113965042091,"ENSG00000109814","UGDH","UDP-glucose 6-dehydrogenase"
"ENSG00000199370.2","ENSG00000199370.2",-0.724274593386112,0.484676028661137,0.0263132468206591,"31","366","2.06323387348532",0.540362254025045,0.0231671342164756,"ENSG00000199370","LOC124901859","small nucleolar RNA U3"
"ENSG00000113328.19","ENSG00000113328.19",-0.640069741164255,0.527255651337793,0.00653116417648712,"100","297","1.89661314670165",0.571863819320215,0.0301563367336829,"ENSG00000113328","CCNG1","cyclin G1"
"ENSG00000168743.13","ENSG00000168743.13",1.24676826885014,3.47908131450515,0.0347877124408489,"390","7","0.2874322010902",0.520768112701252,0.0145572846616704,"ENSG00000168743","NPNT","nephronectin"
"ENSG00000146205.14","ENSG00000146205.14",-1.02557529673263,0.358590110335116,0.0101281406073947,"20","377","2.78869932878367",0.539523703041145,0.0215989539950246,"ENSG00000146205","ANO7","anoctamin 7"
"ENSG00000162817.7","ENSG00000162817.7",-0.812341514411418,0.443817643207946,0.000518029007571415,"91","306","2.25317766272636",0.583827146690519,0.0301122852922565,"ENSG00000162817","C1orf115","chromosome 1 open reading frame 115"
"ENSG00000207445.1","ENSG00000207445.1",0.610890068848904,1.84207023867021,0.0238195229747517,"340","57","0.542867464555477",0.555288461538462,0.026441267176154,"ENSG00000207445","SNORD15B","small nucleolar RNA, C/D box 15B"
"ENSG00000105281.12","ENSG00000105281.12",-1.29004455035156,0.275258519952757,1.05007872602978e-05,"32","365","3.63294840127612",0.558419051878354,0.0227415971872977,"ENSG00000105281","SLC1A5","solute carrier family 1 member 5"
"ENSG00000104852.15","ENSG00000104852.15",0.869263085544221,2.38515255235,0.000425437363655891,"189","208","0.419260394482834",0.607222719141324,0.0295910941516099,"ENSG00000104852","SNRNP70","small nuclear ribonucleoprotein U1 subunit 70"
"ENSG00000120903.13","ENSG00000120903.13",-1.01437108035179,0.362630423528514,1.65340379539782e-05,"84","313","2.75762852512393",0.610521019677996,0.03033387113958,"ENSG00000120903","CHRNA2","cholinergic receptor nicotinic alpha 2 subunit"
"ENSG00000112096.19","ENSG00000112096.19",-0.594605829658871,0.551780018326411,0.0186106089830063,"234","163","1.81231644276114",0.56283542039356,0.0299032043630517,"ENSG00000112096",NA,NA
"ENSG00000198417.7","ENSG00000198417.7",-1.47604249943638,0.228540349626973,0.00154079099789675,"11","386","4.37559495131698",0.528315071556351,0.0167916929193408,"ENSG00000198417","MT1F","metallothionein 1F"
"ENSG00000065978.19","ENSG00000065978.19",0.706614532463796,2.02711689031291,0.00580112643764004,"334","63","0.493311463576054",0.557608452593918,0.0277525729471685,"ENSG00000065978","YBX1","Y-box binding protein 1"
"ENSG00000183617.5","ENSG00000183617.5",-1.53047951753052,0.216431859558354,5.29453716680902e-05,"17","380","4.62039185007502",0.551822450805009,0.0207415813727,"ENSG00000183617","MRPL54","mitochondrial ribosomal protein L54"
"ENSG00000102144.15","ENSG00000102144.15",1.49800162851292,4.47274193351501,0.000456134254652881,"387","10","0.223576502929184",0.530886627906977,0.0164250476793743,"ENSG00000102144","PGK1","phosphoglycerate kinase 1"
"ENSG00000163344.6","ENSG00000163344.6",0.487105697024745,1.6275986326202,0.0433482811542906,"175","222","0.614402089039694",0.56291927549195,0.0306286154945476,"ENSG00000163344","PMVK","phosphomevalonate kinase"
"ENSG00000008283.16","ENSG00000008283.16",-0.633656937697324,0.530647702861972,0.00819235727568305,"101","296","1.88448945431525",0.562472048300537,0.0298019047285417,"ENSG00000008283","CYB561","cytochrome b561"
"ENSG00000199753.1","ENSG00000199753.1",0.502116816937417,1.6522150083079,0.0295464980604077,"210","187","0.605248103286593",0.561465787119857,0.0317205338637821,"ENSG00000199753","SNORD104","small nucleolar RNA, C/D box 104"
"ENSG00000101182.15","ENSG00000101182.15",0.632693533934339,1.88267480434432,0.00607269590288268,"273","124","0.531159177194317",0.57720259391771,0.0310048203651548,"ENSG00000101182","PSMA7","proteasome 20S subunit alpha 7"
