"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000120068.7","ENSG00000120068.7",1.89875955903175,6.67760612654962,0.020354659613404,"378","19","0.149754265383231",0.662820512820513,0.101486466696503,"ENSG00000120068","HOXB8","homeobox B8"
"ENSG00000275839.1","ENSG00000275839.1",1.93152598599986,6.90003156340907,0.0193926282130617,"369","28","0.144926873277364",0.667307692307692,0.101145123187337,"ENSG00000275839",NA,NA
"ENSG00000200788.1","ENSG00000200788.1",2.91024662927945,18.3613264493528,4.34110456270233e-05,"361","36","0.0544622962158188",0.716346153846154,0.100776987144916,"ENSG00000200788",NA,NA
"ENSG00000232022.7","ENSG00000232022.7",1.4012667650315,4.06034020740954,0.048726684836887,"268","129","0.246284781303582",0.736538461538462,0.0727597370162063,"ENSG00000232022",NA,NA
"ENSG00000134757.5","ENSG00000134757.5",-1.47466213571888,0.228856036264648,0.0382281303639083,"122","275","4.36955920552433",0.661538461538462,0.0966991116796989,"ENSG00000134757","DSG3","desmoglein 3"
"ENSG00000282870.1","ENSG00000282870.1",2.66595749455423,14.3817133677831,0.00141295358691834,"392","5","0.0695327444253012",0.617628205128205,0.0981844154794712,"ENSG00000282870",NA,NA
"ENSG00000254915.1","ENSG00000254915.1",1.58716488375123,4.8898659193314,0.0253756154374731,"322","75","0.204504584889872",0.6625,0.100708919687191,"ENSG00000254915",NA,NA
"ENSG00000261338.2","ENSG00000261338.2",-1.64804492945384,0.192425747016066,0.0452116472525083,"24","373","5.19680975912494",0.597435897435897,0.0979396999903148,"ENSG00000261338",NA,NA
"ENSG00000212993.5","ENSG00000212993.5",-1.43510298963191,0.238090841863781,0.0476323052721387,"155","242","4.20007755095481",0.651282051282051,0.0990220887844951,"ENSG00000212993","POU5F1B","POU class 5 homeobox 1B"
"ENSG00000232082.1","ENSG00000232082.1",1.50694428058368,4.51291948761947,0.0253066515839227,"314","83","0.221586049284361",0.608333333333333,0.101068454841317,"ENSG00000232082","RPS6KA2-IT1","RPS6KA2 intronic transcript 1"
"ENSG00000205667.3","ENSG00000205667.3",-2.14663739127226,0.116876507709032,0.00910686632050007,"14","383","8.55603935813628",0.645192307692308,0.0942021754589943,"ENSG00000205667","ARSH","arylsulfatase family member H"
"ENSG00000144230.16","ENSG00000144230.16",-1.44814412805661,0.235006024720848,0.042120896051727,"117","280","4.25521005764789",0.683333333333333,0.0924116656341857,"ENSG00000144230","GPR17","G protein-coupled receptor 17"
"ENSG00000170370.12","ENSG00000170370.12",-1.97596733772546,0.138627148092273,0.00671712620185747,"21","376","7.21359426174145",0.671474358974359,0.102673815045623,"ENSG00000170370","EMX2","empty spiracles homeobox 2"
"ENSG00000228084.1","ENSG00000228084.1",-1.84716197594011,0.157684042998183,0.0093105825125915,"90","307","6.34179578977135",0.690705128205128,0.095791277969497,"ENSG00000228084",NA,NA
"ENSG00000229666.1","ENSG00000229666.1",-1.66155997142597,0.18984259995798,0.0386828153699949,"169","228","5.2675216217084",0.634615384615385,0.0954029736550734,"ENSG00000229666",NA,NA
"ENSG00000278524.1","ENSG00000278524.1",1.36594059997189,3.91940791370409,0.0432154821381939,"336","61","0.255140577867267",0.616025641025641,0.0957615908752378,"ENSG00000278524","MIR6810","microRNA 6810"
"ENSG00000271366.1","ENSG00000271366.1",1.85573661712585,6.39640821952449,0.0208471116399917,"251","146","0.156337739193628",0.669551282051282,0.0924686126688781,"ENSG00000271366",NA,NA
