"Model","Train_C_index","Test_C_index","Train_MAE","Test_MAE","Train_IBS","Test_IBS"
"Model1",0.6,0.51,14.86,20.04,0.188,0.223
"Model2",0.81,0.66,43.23,17.34,0.093,0.238
"Model3",0.82,0.65,21.52,19.91,0.099,0.218
"Model4",0.77,0.59,15.26,17.96,0.123,0.238
"Model5",0.78,0.59,15.63,19.19,0.118,0.233
